date,fire_count,avg_frp
2017-07-29,11,3.3854545454545457
2017-07-30,3,4.25
2017-07-31,7,1.862857142857143
2017-08-01,4,1.5325
2017-08-02,10,2.766
2017-08-03,7,2.557142857142857
2017-08-04,40,3.46075
2017-08-05,19,4.61421052631579
2017-08-06,5,2.0759999999999996
2017-08-07,6,1.0933333333333333
2017-08-08,1,1.12
2017-08-09,3,3.513333333333333
2017-08-10,2,0.525
2017-08-11,1,3.77
2017-08-12,0,0.0
2017-08-13,1,0.95
2017-08-14,1,1.81
2017-08-15,25,5.698
2017-08-16,3,2.9766666666666666
2017-08-17,0,0.0
2017-08-18,4,3.2
2017-08-19,0,0.0
2017-08-20,15,2.981333333333333
2017-08-21,2,5.68
2017-08-22,6,1.905
2017-08-23,5,2.382
2017-08-24,5,2.806
2017-08-25,3,2.75
2017-08-26,13,2.335384615384615
2017-08-27,13,2.63
2017-08-28,1,2.47
2017-08-29,6,2.251666666666667
2017-08-30,11,1.7272727272727273
2017-08-31,4,1.3625
2017-09-01,1,2.89
2017-09-02,2,7.535
2017-09-03,0,0.0
2017-09-04,0,0.0
2017-09-05,9,2.054444444444444
2017-09-06,8,1.01625
2017-09-07,10,3.582
2017-09-08,2,1.455
2017-09-09,0,0.0
2017-09-10,0,0.0
2017-09-11,4,2.455
2017-09-12,11,3.3318181818181816
2017-09-13,13,1.0776923076923077
2017-09-14,8,2.4
2017-09-15,1,2.0
2017-09-16,3,3.766666666666667
2017-09-17,10,3.0620000000000003
2017-09-18,1,0.63
2017-09-19,0,0.0
2017-09-20,6,0.8850000000000001
2017-09-21,21,4.279999999999999
2017-09-22,8,1.61625
2017-09-23,2,3.0949999999999998
2017-09-24,1,0.77
2017-09-25,0,0.0
2017-09-26,7,2.084285714285714
2017-09-27,13,3.1053846153846156
2017-09-28,10,1.971
2017-09-29,2,0.8300000000000001
2017-09-30,0,0.0
2017-10-01,0,0.0
2017-10-02,4,2.9475
2017-10-03,0,0.0
2017-10-04,3,1.5366666666666664
2017-10-05,5,1.616
2017-10-06,13,1.9461538461538461
2017-10-07,10,1.7420000000000002
2017-10-08,3,6.403333333333333
2017-10-09,6,0.9400000000000001
2017-10-10,3,0.9866666666666667
2017-10-11,12,1.9316666666666666
2017-10-12,8,1.51375
2017-10-13,13,2.336923076923077
2017-10-14,13,5.804615384615385
2017-10-15,11,3.189090909090909
2017-10-16,7,1.2557142857142856
2017-10-17,15,1.3099999999999998
2017-10-18,21,2.669047619047619
2017-10-19,8,1.0574999999999999
2017-10-20,0,0.0
2017-10-21,0,0.0
2017-10-22,0,0.0
2017-10-23,12,1.5999999999999999
2017-10-24,16,3.834375
2017-10-25,5,1.98
2017-10-26,8,2.65875
2017-10-27,2,1.375
2017-10-28,20,1.6275
2017-10-29,6,0.915
2017-10-30,23,6.109565217391305
2017-10-31,7,1.725714285714286
2017-11-01,11,1.517272727272727
